thread_id	date	subject	jobs_found	jobs_added	status
19e686efd4bda327	2026-05-27	Director Técnico at LHH	6	1	processed
19e65001659ffafe	2026-05-26	Director of Engineering at Aliz	6	2	processed
19e642463aabbb1e	2026-05-26	Technical Director at CloudHQ, LLC	6	0	processed
19e63b6852e099fb	2026-05-26	Senior Engineering Manager at Super	8	2	processed
19e6348ad266fef0	2026-05-26	Technical Team Lead at Crossover	3	2	processed
19e6a944e09339e1	2026-05-28	Technical Director at Ingenio Global	6	2	processed
19e6a267c5db40fa	2026-05-28	Engineering Manager at Secfix	6	2	processed
19e69b8a04710dc6	2026-05-28	Data Engineering Manager at Airalo	1	1	processed
19e68dce00194119	2026-05-28	Technical Lead LearnWith.AI at Crossover	6	0	processed
19e6fab1e6d60cd7	2026-05-29	Senior Engineering Manager - Machine Learning at Super	6	6	processed
19e6e71178fbbb18	2026-05-29	Head of/VP of Engineering at Mimica	11	3	processed
19e6e0334bff4d19	2026-05-29	Head of Engineering at Jobgether	8	2	processed
19e6d95677f141d6	2026-05-29	Engineering Manager at Epassi	6	2	processed
19e7ebfe43474508	2026-05-31	Director técnico CTO (IA Agentica) at ChVmpion Mind Technology	6	1	processed
19e7e52a5caf1421	2026-05-31	Senior Engineering Manager at Jobgether	8	4	processed
19e7d764b987f924	2026-05-31	Team Lead, Engineering at Deel	5	0	processed
19e7d08b7694a1fc	2026-05-31	Technical Director (Perm, Ireland, Remote) at Nearform	6	3	processed
19e79f7d6f2cd28d	2026-05-30	Engineering Manager - Link Key Accounts at Veeva Systems	1	0	processed
19e7999b6d91baf6	2026-05-30	Technical Lead - 100% remoto at Nunegal Consulting	5	0	processed
19e784fec7153ad2	2026-05-30	Dirección Técnica at knowmad mood	6	2	processed
19e77e21435be942	2026-05-30	Director of Platform Engineering at Overstory	12	6	processed
19e754edee8a08dc	2026-05-29	Engineering Manager - técnico - delivery - producto API at Between Technology	3	1	processed
19e74e1081704b51	2026-05-29	Platform Director (100% Remote within Spain) at Docplanner	10	7	processed
19e74732f921fced	2026-05-29	Head of Engineering at Barbara	6	1	processed
19e7397754c0d78d	2026-05-29	Director R&D- VistaView and Enterprise CX Intelligence solutions. at Infovista	3	1	processed
19e732996f85a208	2026-05-29	Software Engineering Manager at Fixify	6	3	processed
19e830a87ab0194c	2026-06-01	Platform Engineering Manager (AWS) at Ebury	5	1	processed
19e829c9c3db31bd	2026-06-01	Manager, Software Engineering at Pearson	6	0	processed
19e822ec38ac8a6b	2026-06-01	Director of Engineering at Checkatrade	7	0	processed
19e5f6bdb1605da2	2026-05-25	Software Engineering Manager (Servicing Platform) at Affirm	1	1	processed
19e5efe07bf1a57d	2026-05-25	AI Voice Agents Engineering Lead at Santander Digital Services	3	0	processed
19e5e9027dd88e05	2026-05-25	Senior Engineering Manager at Seera	9	0	processed
19e5e22422c119b7	2026-05-25	Engineering Manager at Seera	0	0	processed
19e5ab361f2c7131	2026-05-24	IT Director Architecture EMEA at Johnson & Johnson Innovative Medicine	6	1	processed
19e59d7a7a5dfb2b	2026-05-24	Technical Director | Remote, Ireland based at Ingenio Global	6	1	processed
19e5969c9f690691	2026-05-24	Head of Engineering at Prospex Development	10	3	processed
19e58fbe83d125f2	2026-05-24	Tech Lead at T-Innova	6	0	processed
19e54b1420d7beec	2026-05-23	Engineering Manager at Epassi	13	4	processed
19e544378e14ef8d	2026-05-23	Technical Platform Architect Team Lead at Paradigma Digital	0	0	processed
19e53d58dc0fb306	2026-05-23	Chief Technology Officer at Liuv	6	3	processed
19e52f9d6dc6c4dd	2026-05-23	Technical Director (Perm, Ireland, Remote) at Nearform	0	0	processed
19e521e21cc2f846	2026-05-22	Engineering Team Leader at Remote	7	3	processed
19e51b040fff0832	2026-05-22	AI Development Director at AMFRESH Group	6	4	processed
19e51426dd5eb80e	2026-05-22	Engineering Director at Trustly	6	4	processed
19e50d48a35a2baf	2026-05-22	Senior Engineering Manager - Corporate Engineering | Sweden | Remote at Grafana Labs	0	0	processed
19e4c89ebf09e530	2026-05-21	Manager, Software Engineering at Pearson	6	0	processed
19e4c1c04f0e85b4	2026-05-21	Senior Engineering Manager - Corporate Engineering | Spain | Remote at Grafana Labs	6	2	processed
19e4bae2ade70cfc	2026-05-21	Head of Engineering at Treatwell	8	5	processed
19e483f42e2f3b88	2026-05-21	Director of Engineering at AppSignal	6	5	processed
19e47d16325e3cb9	2026-05-20	Director, Security Engineering - Remote in Spain at Auctane	6	3	processed
19e8c7b86e2aaf12	2026-06-03	Director of Engineering at Primer	6	6	processed
19e8830f087e3f06	2026-06-03	Director of Platform Engineering at Filigran	11	5	processed
19e87c313978a4f9	2026-06-03	HVDC Commissioning Manager (f/m/d) at Siemens Energy	1	0	processed
19e875561045f72a	2026-06-03	Delivery Manager - Core Technology Platform at Keyrock	1	0	processed
19e91a1dc1e47a74	2026-06-04	Engineering Manager, EU at Ashby: up to €185K/year	6	1	processed
19e8e915460a725c	2026-06-04	Engineering Manager at Prima	6	0	processed
19e8e336c5696419	2026-06-04	IT Director / Head of Engineering ($100/hr, up to $2,000/week) at Ethos	6	1	processed
19e8d574c69630e8	2026-06-04	Engineering Manager - Partners at Jobgether	6	2	processed
19e8ce9e4be00070	2026-06-04	Data Lead (Product / Scale-up Environment) | Full Remote SPAIN | €65K - €75K at Joppy	2	0	processed
